;card_id;disp_id;card_type;card_issued_date
83;462;2978;classic;1995-12-30
84;85;489;classic;1995-12-31
85;337;2141;classic;1996-01-01
86;771;5233;classic;1996-01-08
87;379;2431;classic;1996-01-12
88;106;592;classic;1996-01-14
89;606;3883;classic;1996-01-22
90;427;2688;gold;1996-01-25
91;202;1228;classic;1996-02-04
92;814;5911;classic;1996-02-15
93;1064;10328;classic;1996-02-17
94;14;112;classic;1996-02-17
95;423;2657;classic;1996-02-19
96;989;9119;classic;1996-02-21
97;364;2329;classic;1996-02-29
98;267;1691;junior;1996-03-09
99;621;3970;junior;1996-03-19
100;1139;11836;junior;1996-03-26
101;725;4715;junior;1996-03-30
102;150;859;classic;1996-03-30
103;302;1900;classic;1996-03-31
104;372;2395;classic;1996-03-31
105;499;3187;classic;1996-04-03
106;229;1384;classic;1996-04-05
107;289;1831;junior;1996-04-08
108;1100;11101;junior;1996-04-10
109;37;238;classic;1996-04-20
110;286;1812;gold;1996-04-21
111;157;907;classic;1996-04-24
112;216;1310;junior;1996-04-24
113;977;8968;classic;1996-05-08
114;183;1080;classic;1996-05-08
115;945;8342;junior;1996-05-09
116;44;268;junior;1996-05-17
117;600;3829;classic;1996-05-20
118;127;714;classic;1996-05-23
119;764;5159;classic;1996-05-29
120;204;1239;junior;1996-05-30
121;1134;11742;classic;1996-05-31
122;312;1971;classic;1996-06-08
123;313;1980;classic;1996-06-17
124;641;4116;classic;1996-06-18
125;731;4751;classic;1996-06-23
126;84;487;classic;1996-06-26
127;265;1680;classic;1996-06-28
128;1176;12502;gold;1996-07-03
129;1233;13382;classic;1996-07-06
130;407;2555;classic;1996-07-11
131;320;2045;classic;1996-07-11
132;1187;12635;gold;1996-07-17
133;121;666;junior;1996-07-22
134;1055;10171;classic;1996-07-24
135;303;1912;classic;1996-08-01
136;651;4201;junior;1996-08-02
137;736;4789;classic;1996-08-03
138;24;153;junior;1996-08-05
139;587;3763;junior;1996-08-05
140;119;655;classic;1996-08-08
141;670;4343;classic;1996-08-08
142;227;1380;classic;1996-08-10
143;1164;12269;classic;1996-08-12
144;1043;9974;junior;1996-08-14
145;278;1779;classic;1996-08-15
146;103;584;junior;1996-08-17
147;673;4353;junior;1996-08-31
148;38;242;classic;1996-08-31
149;470;3036;classic;1996-09-02
150;890;7422;classic;1996-09-08
151;514;3267;classic;1996-09-10
152;741;4832;classic;1996-09-11
153;882;7195;classic;1996-09-11
154;12;83;junior;1996-09-11
155;152;876;classic;1996-09-16
156;163;984;classic;1996-09-18
157;708;4568;junior;1996-09-24
158;1087;10887;classic;1996-10-06
159;854;6753;classic;1996-10-07
160;601;3830;classic;1996-10-08
161;99;548;gold;1996-10-09
162;547;3477;classic;1996-10-11
163;40;255;classic;1996-10-13
164;220;1333;classic;1996-10-13
165;390;2490;classic;1996-10-14
166;776;5263;classic;1996-10-19
167;197;1202;junior;1996-10-21
168;516;3279;classic;1996-10-25
169;381;2440;classic;1996-10-27
170;1010;9413;classic;1996-10-27
171;813;5873;junior;1996-10-28
172;272;1754;junior;1996-10-28
173;772;5243;classic;1996-10-30
174;528;3356;classic;1996-10-31
175;1014;9452;classic;1996-11-02
176;87;493;classic;1996-11-02
177;88;496;classic;1996-11-04
178;441;2785;classic;1996-11-05
179;562;3583;classic;1996-11-07
180;690;4479;classic;1996-11-07
181;374;2423;classic;1996-11-08
182;57;347;classic;1996-11-09
183;722;4684;classic;1996-11-14
184;300;1890;classic;1996-11-20
185;117;649;junior;1996-11-23
186;541;3427;junior;1996-11-26
187;294;1861;classic;1996-12-04
188;10;77;classic;1996-12-07
189;710;4588;junior;1996-12-10
190;408;2560;classic;1996-12-10
191;363;2324;junior;1996-12-11
192;697;4518;classic;1996-12-11
193;433;2724;classic;1996-12-12
194;642;4137;classic;1996-12-13
195;243;1478;classic;1996-12-13
196;162;967;junior;1996-12-23
197;594;3794;junior;1996-12-27
198;609;3893;classic;1996-12-29
199;1111;11288;classic;1996-12-31
200;786;5478;classic;1996-12-31
201;1118;11393;classic;1997-01-02
202;175;1040;classic;1997-01-03
203;565;3601;gold;1997-01-06
204;714;4638;classic;1997-01-09
205;137;786;junior;1997-01-10
206;22;138;classic;1997-01-11
207;325;2102;classic;1997-01-12
208;194;1182;classic;1997-01-13
209;668;4340;classic;1997-01-14
210;706;4559;gold;1997-01-16
211;850;6644;classic;1997-01-16
212;298;1885;classic;1997-01-17
213;105;590;classic;1997-01-17
214;1036;9735;classic;1997-01-17
215;292;1842;gold;1997-01-18
216;112;626;junior;1997-01-19
217;678;4405;gold;1997-01-20
218;1093;11011;classic;1997-01-20
219;681;4426;classic;1997-01-22
220;582;3733;classic;1997-01-22
221;729;4740;junior;1997-01-22
222;54;334;classic;1997-01-24
223;258;1607;classic;1997-01-26
224;534;3387;classic;1997-01-29
225;667;4333;classic;1997-01-31
226;195;1194;classic;1997-02-03
227;199;1213;classic;1997-02-07
228;490;3136;gold;1997-02-07
229;347;2184;classic;1997-02-11
230;210;1253;classic;1997-02-16
231;293;1850;classic;1997-02-17
232;189;1157;classic;1997-02-19
233;324;2074;classic;1997-02-19
234;578;3689;junior;1997-02-21
235;266;1690;classic;1997-03-04
236;568;3615;classic;1997-03-05
237;171;1027;classic;1997-03-05
238;679;4416;classic;1997-03-06
239;841;6468;classic;1997-03-06
240;513;3260;classic;1997-03-15
241;647;4171;junior;1997-03-21
242;665;4318;classic;1997-03-24
243;400;2529;classic;1997-04-06
244;617;3944;gold;1997-04-09
245;709;4587;junior;1997-04-11
246;387;2481;classic;1997-04-18
247;226;1378;classic;1997-04-18
248;350;2226;classic;1997-04-20
249;539;3415;classic;1997-04-23
250;583;3735;classic;1997-04-24
251;576;3671;classic;1997-04-30
252;232;1396;classic;1997-05-01
253;730;4749;classic;1997-05-02
254;616;3943;classic;1997-05-05
255;564;3590;classic;1997-05-06
256;82;474;classic;1997-05-07
257;1173;12442;classic;1997-05-08
258;426;2686;classic;1997-05-09
259;791;5521;classic;1997-05-12
260;572;3636;junior;1997-05-16
261;375;2425;junior;1997-05-17
262;69;438;classic;1997-05-17
263;607;3885;classic;1997-05-17
264;155;900;junior;1997-05-17
265;275;1762;classic;1997-05-20
266;847;6610;classic;1997-05-20
267;399;2527;classic;1997-05-22
268;305;1914;classic;1997-05-23
269;430;2713;classic;1997-05-26
270;349;2214;classic;1997-05-26
271;256;1583;classic;1997-05-26
272;50;309;classic;1997-05-28
273;939;8217;junior;1997-05-29
274;110;608;classic;1997-05-31
275;184;1089;gold;1997-06-03
276;90;503;classic;1997-06-04
277;597;3813;junior;1997-06-06
278;471;3037;classic;1997-06-09
279;494;3173;classic;1997-06-10
280;211;1271;classic;1997-06-10
281;353;2259;classic;1997-06-11
282;213;1289;gold;1997-06-11
283;1009;9409;gold;1997-06-14
284;297;1883;classic;1997-06-15
285;801;5684;classic;1997-06-15
286;748;4923;classic;1997-06-16
287;133;742;classic;1997-06-16
288;316;2013;classic;1997-06-17
289;145;819;classic;1997-06-17
290;270;1736;junior;1997-06-17
291;1178;12542;classic;1997-06-19
292;222;1345;classic;1997-06-19
293;241;1461;classic;1997-06-20
294;280;1793;classic;1997-06-22
295;675;4376;classic;1997-06-23
296;108;597;classic;1997-06-25
297;1196;12805;classic;1997-06-27
298;287;1819;junior;1997-06-28
299;443;2808;classic;1997-06-29
300;1138;11825;classic;1997-06-29
301;733;4764;junior;1997-06-30
302;311;1954;classic;1997-07-01
303;120;662;classic;1997-07-03
304;122;667;junior;1997-07-03
305;476;3079;classic;1997-07-06
306;781;5366;classic;1997-07-07
307;588;3765;classic;1997-07-08
308;403;2538;junior;1997-07-12
309;139;797;classic;1997-07-14
310;553;3522;classic;1997-07-14
311;625;3987;classic;1997-07-17
312;413;2592;junior;1997-07-20
313;591;3779;classic;1997-07-23
314;694;4504;classic;1997-07-24
315;512;3259;classic;1997-07-24
316;1095;11023;gold;1997-07-28
317;1059;10235;classic;1997-07-29
318;75;457;classic;1997-07-29
319;383;2469;classic;1997-07-30
320;115;638;classic;1997-07-30
321;884;7286;gold;1997-07-31
322;454;2921;classic;1997-08-01
323;688;4472;classic;1997-08-01
324;936;8030;classic;1997-08-02
325;663;4295;classic;1997-08-06
326;637;4094;junior;1997-08-06
327;511;3257;junior;1997-08-06
328;1220;13160;classic;1997-08-08
329;628;4007;classic;1997-08-11
330;718;4660;classic;1997-08-12
331;238;1452;gold;1997-08-17
332;546;3465;gold;1997-08-19
333;660;4265;junior;1997-08-19
334;491;3151;classic;1997-08-21
335;140;798;classic;1997-08-22
336;502;3201;classic;1997-08-22
337;598;3821;classic;1997-08-23
338;355;2267;classic;1997-08-28
339;43;267;classic;1997-08-29
340;610;3894;classic;1997-08-29
341;182;1067;gold;1997-08-31
342;41;256;classic;1997-08-31
343;91;504;junior;1997-09-01
344;252;1529;classic;1997-09-02
345;495;3181;classic;1997-09-02
346;259;1610;classic;1997-09-05
347;187;1140;classic;1997-09-07
348;185;1098;classic;1997-09-07
349;1025;9625;classic;1997-09-08
350;19;130;classic;1997-09-09
351;431;2715;gold;1997-09-12
352;356;2268;classic;1997-09-13
353;767;5204;classic;1997-09-14
354;537;3405;classic;1997-09-15
355;703;4546;classic;1997-09-17
356;671;4345;classic;1997-09-17
357;896;7567;classic;1997-09-18
358;343;2164;classic;1997-09-21
359;279;1791;classic;1997-09-21
360;622;3981;junior;1997-09-22
361;612;3906;classic;1997-09-22
362;206;1243;classic;1997-09-22
363;190;1165;classic;1997-09-23
364;1203;12893;classic;1997-09-26
365;234;1424;classic;1997-09-29
366;30;202;classic;1997-10-01
367;327;2117;classic;1997-10-03
368;49;305;classic;1997-10-03
369;1115;11375;junior;1997-10-03
370;698;4522;gold;1997-10-07
371;874;7127;gold;1997-10-07
372;247;1500;junior;1997-10-08
373;656;4235;classic;1997-10-08
374;436;2759;classic;1997-10-09
375;124;688;classic;1997-10-10
376;633;4078;classic;1997-10-12
377;428;2698;classic;1997-10-13
378;638;4100;gold;1997-10-14
379;153;886;gold;1997-10-19
380;596;3811;classic;1997-10-19
381;664;4316;classic;1997-10-22
382;251;1525;classic;1997-10-23
383;552;3519;classic;1997-10-25
384;9;76;classic;1997-10-25
385;11;79;gold;1997-10-25
386;650;4194;classic;1997-10-26
387;59;365;classic;1997-10-27
388;1016;9525;classic;1997-10-28
389;359;2299;classic;1997-10-29
390;438;2768;classic;1997-10-30
391;94;513;classic;1997-11-06
392;1056;10220;classic;1997-11-06
393;273;1758;classic;1997-11-07
394;947;8366;classic;1997-11-08
395;93;510;classic;1997-11-09
396;762;5132;classic;1997-11-10
397;254;1578;classic;1997-11-11
398;611;3896;classic;1997-11-13
399;648;4188;classic;1997-11-18
400;373;2401;classic;1997-11-18
401;579;3699;classic;1997-11-18
402;555;3544;classic;1997-11-19
403;329;2122;gold;1997-11-19
404;707;4560;classic;1997-11-21
405;51;321;classic;1997-11-21
406;382;2445;gold;1997-11-22
407;472;3056;classic;1997-11-24
408;237;1445;classic;1997-11-25
409;1234;13386;classic;1997-11-28
410;86;490;classic;1997-11-28
411;540;3425;classic;1997-11-29
412;493;3167;classic;1997-11-30
413;532;3382;classic;1997-11-30
414;590;3769;classic;1997-12-02
415;942;8295;classic;1997-12-02
416;33;221;junior;1997-12-03
417;739;4821;classic;1997-12-03
418;45;272;classic;1997-12-05
419;25;158;classic;1997-12-06
420;200;1220;gold;1997-12-09
421;268;1707;gold;1997-12-11
422;507;3245;classic;1997-12-11
423;569;3616;classic;1997-12-12
424;282;1799;gold;1997-12-13
425;536;3404;classic;1997-12-13
426;1022;9606;classic;1997-12-13
427;1105;11237;classic;1997-12-13
428;326;2104;classic;1997-12-14
429;380;2434;classic;1997-12-15
430;723;4699;classic;1997-12-15
431;81;473;classic;1997-12-17
432;521;3310;classic;1997-12-17
433;608;3890;classic;1997-12-17
434;589;3766;junior;1997-12-20
435;281;1795;classic;1997-12-22
436;891;7434;classic;1997-12-23
437;774;5249;classic;1997-12-25
438;566;3606;classic;1997-12-25
439;575;3667;gold;1997-12-25
440;154;887;classic;1997-12-28
441;130;722;classic;1997-12-29
442;434;2739;classic;1997-12-30
443;83;483;classic;1998-01-05
444;593;3787;junior;1998-01-06
445;481;3102;junior;1998-01-06
446;304;1913;classic;1998-01-06
447;149;858;classic;1998-01-07
448;659;4258;classic;1998-01-08
449;517;3291;classic;1998-01-09
450;368;2361;classic;1998-01-10
451;482;3104;junior;1998-01-13
452;689;4473;classic;1998-01-15
453;557;3567;classic;1998-01-17
454;897;7576;classic;1998-01-18
455;803;5727;classic;1998-01-19
456;401;2532;classic;1998-01-19
457;760;5126;classic;1998-01-19
458;274;1759;classic;1998-01-21
459;28;174;junior;1998-01-22
460;904;7672;classic;1998-01-22
461;474;3066;junior;1998-01-24
462;214;1292;classic;1998-01-24
463;55;335;classic;1998-01-25
464;340;2155;classic;1998-01-25
465;724;4701;gold;1998-01-27
466;67;429;junior;1998-01-28
467;236;1440;junior;1998-01-29
468;68;434;classic;1998-01-31
469;348;2203;classic;1998-02-02
470;65;414;classic;1998-02-02
471;1239;13442;junior;1998-02-02
472;165;996;junior;1998-02-04
473;249;1517;classic;1998-02-06
474;246;1492;classic;1998-02-08
475;720;4674;junior;1998-02-09
476;518;3292;gold;1998-02-10
477;459;2958;gold;1998-02-11
478;655;4231;classic;1998-02-13
479;624;3985;junior;1998-02-13
480;398;2522;classic;1998-02-14
481;796;5579;classic;1998-02-20
482;100;562;gold;1998-02-21
483;574;3640;junior;1998-02-23
484;360;2308;classic;1998-02-24
485;391;2493;classic;1998-02-24
486;283;1800;classic;1998-02-25
487;726;4721;classic;1998-02-26
488;132;731;junior;1998-02-26
489;463;2982;classic;1998-02-26
490;21;132;classic;1998-02-26
491;529;3357;classic;1998-02-27
492;946;8359;junior;1998-02-28
493;419;2626;classic;1998-02-28
494;248;1512;classic;1998-03-01
495;215;1296;classic;1998-03-02
496;225;1359;classic;1998-03-03
497;643;4157;classic;1998-03-04
498;844;6567;junior;1998-03-04
499;672;4349;classic;1998-03-07
500;276;1765;classic;1998-03-07
501;1230;13312;classic;1998-03-08
502;599;3824;gold;1998-03-08
503;72;447;classic;1998-03-09
504;1199;12826;classic;1998-03-09
505;48;295;classic;1998-03-10
506;58;358;classic;1998-03-11
507;334;2133;classic;1998-03-13
508;2;19;classic;1998-03-13
509;228;1382;junior;1998-03-15
510;244;1480;classic;1998-03-16
511;1189;12683;classic;1998-03-17
512;198;1211;junior;1998-03-18
513;34;225;classic;1998-03-20
514;535;3395;classic;1998-03-22
515;269;1718;gold;1998-03-22
516;515;3268;classic;1998-03-23
517;290;1833;classic;1998-03-24
518;315;2005;junior;1998-03-24
519;784;5461;classic;1998-03-24
520;63;378;junior;1998-03-27
521;417;2619;classic;1998-03-30
522;619;3958;classic;1998-04-01
523;191;1168;junior;1998-04-02
524;965;8636;classic;1998-04-02
525;444;2815;gold;1998-04-03
526;370;2374;classic;1998-04-03
527;156;906;junior;1998-04-07
528;492;3166;classic;1998-04-09
529;52;326;gold;1998-04-10
530;71;441;classic;1998-04-11
531;775;5253;gold;1998-04-11
532;330;2124;classic;1998-04-11
533;510;3256;classic;1998-04-13
534;170;1020;classic;1998-04-16
535;338;2146;classic;1998-04-16
536;755;5002;classic;1998-04-16
537;451;2888;junior;1998-04-16
538;263;1668;gold;1998-04-17
539;602;3846;junior;1998-04-18
540;498;3186;classic;1998-04-18
541;933;7959;junior;1998-04-21
542;89;497;classic;1998-04-22
543;761;5128;gold;1998-04-23
544;176;1049;classic;1998-04-25
545;1102;11183;classic;1998-04-25
546;109;605;classic;1998-04-26
547;421;2644;classic;1998-04-27
548;918;7796;classic;1998-04-27
549;680;4417;classic;1998-04-29
550;824;6196;classic;1998-04-29
551;448;2864;classic;1998-04-29
552;1194;12781;junior;1998-04-30
553;331;2125;gold;1998-05-01
554;734;4765;classic;1998-05-01
555;235;1438;classic;1998-05-02
556;284;1807;classic;1998-05-07
557;412;2585;classic;1998-05-09
558;64;402;classic;1998-05-10
559;186;1133;gold;1998-05-12
560;458;2951;gold;1998-05-14
561;465;2995;classic;1998-05-15
562;457;2948;junior;1998-05-16
563;456;2929;classic;1998-05-16
564;645;4166;classic;1998-05-17
565;906;7683;gold;1998-05-18
566;756;5012;classic;1998-05-18
567;218;1322;classic;1998-05-18
568;717;4654;classic;1998-05-19
569;8;60;junior;1998-05-20
570;700;4533;junior;1998-05-22
571;757;5013;junior;1998-05-22
572;126;707;classic;1998-05-23
573;358;2287;junior;1998-05-23
574;639;4112;classic;1998-05-23
575;212;1280;classic;1998-05-24
576;415;2609;classic;1998-05-25
577;161;963;classic;1998-05-25
578;207;1244;classic;1998-05-25
579;1216;13097;classic;1998-05-26
580;649;4190;classic;1998-05-29
581;475;3075;gold;1998-05-31
582;586;3756;classic;1998-05-31
583;446;2841;classic;1998-06-04
584;823;6178;classic;1998-06-05
585;644;4165;classic;1998-06-05
586;111;615;classic;1998-06-05
587;469;3026;classic;1998-06-07
588;17;127;classic;1998-06-07
589;558;3568;classic;1998-06-07
590;192;1169;classic;1998-06-08
591;631;4061;junior;1998-06-09
592;317;2015;classic;1998-06-10
593;716;4651;junior;1998-06-11
594;7;56;classic;1998-06-11
595;863;6906;classic;1998-06-12
596;123;679;classic;1998-06-12
597;770;5232;classic;1998-06-15
598;143;816;classic;1998-06-15
599;785;5468;classic;1998-06-16
600;646;4167;classic;1998-06-17
601;160;954;classic;1998-06-17
602;669;4341;classic;1998-06-19
603;101;566;classic;1998-06-19
604;332;2126;classic;1998-06-19
605;362;2320;gold;1998-06-21
606;173;1031;classic;1998-06-21
607;16;116;classic;1998-06-23
608;365;2332;classic;1998-06-23
609;701;4534;classic;1998-06-24
610;80;471;classic;1998-06-25
611;831;6275;classic;1998-06-29
612;354;2265;gold;1998-06-30
613;250;1522;classic;1998-06-30
614;142;810;classic;1998-07-01
615;991;9149;junior;1998-07-01
616;1192;12736;classic;1998-07-02
617;738;4808;junior;1998-07-02
618;627;3994;classic;1998-07-05
619;696;4516;classic;1998-07-05
620;260;1616;classic;1998-07-05
621;768;5223;classic;1998-07-06
622;233;1418;classic;1998-07-07
623;450;2880;classic;1998-07-07
624;440;2782;classic;1998-07-07
625;301;1899;classic;1998-07-07
626;485;3124;classic;1998-07-08
627;567;3611;classic;1998-07-08
628;66;425;classic;1998-07-08
629;1002;9261;classic;1998-07-09
630;453;2911;gold;1998-07-12
631;277;1777;gold;1998-07-12
632;571;3627;junior;1998-07-13
633;687;4471;classic;1998-07-14
634;640;4115;classic;1998-07-14
635;39;254;classic;1998-07-14
636;435;2740;classic;1998-07-15
637;411;2572;classic;1998-07-15
638;548;3501;classic;1998-07-16
639;1167;12335;classic;1998-07-18
640;727;4723;classic;1998-07-19
641;603;3850;classic;1998-07-20
642;496;3183;junior;1998-07-21
643;73;451;junior;1998-07-21
644;146;822;classic;1998-07-23
645;439;2779;classic;1998-07-23
646;613;3913;classic;1998-07-23
647;323;2065;junior;1998-07-24
648;623;3984;classic;1998-07-25
649;530;3360;classic;1998-07-25
650;396;2508;classic;1998-07-26
651;1076;10604;gold;1998-07-27
652;344;2168;classic;1998-07-27
653;525;3337;classic;1998-07-27
654;42;264;junior;1998-07-28
655;740;4823;junior;1998-07-28
656;780;5333;classic;1998-07-29
657;509;3253;gold;1998-07-30
658;308;1938;classic;1998-07-30
659;618;3947;classic;1998-07-31
660;209;1251;classic;1998-07-31
661;1155;12088;classic;1998-08-01
662;95;519;junior;1998-08-01
663;833;6299;classic;1998-08-01
664;319;2038;junior;1998-08-02
665;795;5563;classic;1998-08-02
666;508;3249;classic;1998-08-03
667;78;468;classic;1998-08-04
668;683;4437;classic;1998-08-05
669;32;219;classic;1998-08-06
670;550;3515;classic;1998-08-08
671;1217;13098;junior;1998-08-09
672;1003;9274;classic;1998-08-09
673;179;1059;classic;1998-08-10
674;169;1019;classic;1998-08-10
675;221;1339;classic;1998-08-10
676;684;4457;classic;1998-08-11
677;77;466;classic;1998-08-13
678;581;3721;classic;1998-08-13
679;47;280;classic;1998-08-13
680;386;2478;classic;1998-08-14
681;346;2177;classic;1998-08-14
682;406;2548;classic;1998-08-16
683;951;8392;classic;1998-08-16
684;519;3297;classic;1998-08-16
685;321;2058;gold;1998-08-16
686;128;716;classic;1998-08-19
687;711;4592;classic;1998-08-19
688;538;3414;gold;1998-08-20
689;29;192;classic;1998-08-20
690;834;6301;classic;1998-08-21
691;461;2977;gold;1998-08-21
692;239;1453;gold;1998-08-24
693;395;2502;classic;1998-08-24
694;531;3378;gold;1998-08-24
695;1150;12020;classic;1998-08-25
696;96;528;classic;1998-08-26
697;367;2343;classic;1998-08-27
698;1023;9621;classic;1998-08-30
699;702;4543;classic;1998-08-30
700;405;2542;classic;1998-08-31
701;480;3092;classic;1998-09-01
702;1098;11063;classic;1998-09-01
703;79;469;classic;1998-09-02
704;402;2536;classic;1998-09-03
705;551;3517;classic;1998-09-03
706;425;2662;junior;1998-09-04
707;1195;12787;gold;1998-09-04
708;1154;12070;classic;1998-09-05
709;307;1930;gold;1998-09-05
710;752;4944;junior;1998-09-06
711;134;769;classic;1998-09-07
712;285;1811;gold;1998-09-10
713;544;3448;gold;1998-09-10
714;526;3339;classic;1998-09-10
715;352;2235;classic;1998-09-11
716;328;2121;junior;1998-09-12
717;26;161;classic;1998-09-14
718;141;808;classic;1998-09-15
719;151;861;classic;1998-09-16
720;203;1231;classic;1998-09-16
721;653;4212;classic;1998-09-16
722;880;7186;classic;1998-09-17
723;620;3959;classic;1998-09-17
724;630;4019;classic;1998-09-18
725;1188;12678;classic;1998-09-19
726;389;2489;gold;1998-09-19
727;1024;9622;classic;1998-09-20
728;193;1179;gold;1998-09-21
729;758;5016;classic;1998-09-21
730;634;4081;junior;1998-09-22
731;361;2312;classic;1998-09-23
732;242;1473;classic;1998-09-24
733;923;7855;classic;1998-09-24
734;1007;9333;gold;1998-09-25
735;520;3308;classic;1998-09-25
736;629;4018;junior;1998-09-25
737;335;2137;classic;1998-09-25
738;414;2606;classic;1998-09-26
739;36;236;classic;1998-09-28
740;561;3581;gold;1998-09-28
741;291;1836;classic;1998-09-29
742;231;1390;junior;1998-09-29
743;782;5376;classic;1998-09-29
744;180;1062;classic;1998-09-29
745;765;5175;classic;1998-09-29
746;357;2277;junior;1998-09-29
747;554;3535;classic;1998-09-29
748;956;8502;classic;1998-09-30
749;676;4380;classic;1998-09-30
750;255;1579;gold;1998-10-01
751;1193;12743;classic;1998-10-01
752;416;2616;classic;1998-10-01
753;585;3753;gold;1998-10-01
754;744;4863;classic;1998-10-02
755;23;146;classic;1998-10-03
756;394;2501;classic;1998-10-05
757;460;2971;classic;1998-10-05
758;35;231;classic;1998-10-07
759;447;2845;classic;1998-10-07
760;264;1669;classic;1998-10-07
761;245;1483;classic;1998-10-08
762;505;3233;junior;1998-10-09
763;336;2138;junior;1998-10-09
764;366;2335;classic;1998-10-09
765;533;3384;classic;1998-10-09
766;288;1826;classic;1998-10-10
767;754;4976;junior;1998-10-10
768;116;646;classic;1998-10-11
769;1035;9732;classic;1998-10-11
770;682;4429;classic;1998-10-11
771;792;5526;classic;1998-10-11
772;385;2476;classic;1998-10-12
773;53;333;classic;1998-10-13
774;751;4941;junior;1998-10-15
775;614;3938;junior;1998-10-16
776;957;8506;junior;1998-10-16
777;1;9;gold;1998-10-16
778;743;4862;gold;1998-10-18
779;61;374;classic;1998-10-18
780;60;370;classic;1998-10-18
781;74;453;classic;1998-10-18
782;749;4929;classic;1998-10-19
783;339;2154;classic;1998-10-19
784;769;5224;classic;1998-10-20
785;488;3134;gold;1998-10-20
786;31;208;classic;1998-10-21
787;542;3439;classic;1998-10-22
788;750;4937;classic;1998-10-24
789;855;6764;classic;1998-10-24
790;299;1886;classic;1998-10-25
791;158;928;gold;1998-10-25
792;857;6789;junior;1998-10-25
793;230;1388;gold;1998-10-25
794;295;1864;classic;1998-10-26
795;584;3751;classic;1998-10-28
796;449;2865;classic;1998-10-28
797;351;2232;classic;1998-11-01
798;138;791;classic;1998-11-02
799;524;3333;classic;1998-11-02
800;693;4495;junior;1998-11-03
801;604;3858;classic;1998-11-04
802;746;4901;classic;1998-11-04
803;333;2128;classic;1998-11-04
804;129;719;classic;1998-11-05
805;429;2709;classic;1998-11-05
806;424;2659;classic;1998-11-06
807;345;2175;classic;1998-11-07
808;1165;12291;classic;1998-11-08
809;1070;10490;junior;1998-11-08
810;217;1316;classic;1998-11-09
811;636;4091;junior;1998-11-09
812;820;6039;classic;1998-11-10
813;46;273;classic;1998-11-10
814;742;4833;classic;1998-11-10
815;404;2540;junior;1998-11-12
816;102;575;classic;1998-11-12
817;455;2924;classic;1998-11-13
818;253;1536;gold;1998-11-14
819;570;3620;classic;1998-11-14
820;27;167;junior;1998-11-15
821;580;3713;classic;1998-11-16
822;409;2562;classic;1998-11-16
823;205;1242;classic;1998-11-16
824;773;5245;classic;1998-11-18
825;487;3130;classic;1998-11-18
