;account_id;account_district_id;statement_freq;account_open_date
49;11265;15;MONTHLY;1993-01-14
50;2519;4;MONTHLY;1993-01-15
51;10364;55;MONTHLY;1993-01-17
52;1481;15;MONTHLY;1993-01-17
53;401;32;MONTHLY;1993-01-18
54;4034;1;MONTHLY;1993-01-18
55;2330;54;MONTHLY;1993-01-19
56;1806;40;MONTHLY;1993-01-19
57;3834;54;MONTHLY;1993-01-19
58;1222;66;MONTHLY;1993-01-20
59;212;27;WEEKLY;1993-01-20
60;456;49;MONTHLY;1993-01-21
61;459;47;MONTHLY;1993-01-21
62;772;45;MONTHLY;1993-01-21
63;1019;52;MONTHLY;1993-01-21
64;11295;74;MONTHLY;1993-01-21
65;2970;60;MONTHLY;1993-01-22
66;2676;73;MONTHLY;1993-01-22
67;1536;41;WEEKLY;1993-01-22
68;1179;74;MONTHLY;1993-01-23
69;280;25;MONTHLY;1993-01-23
70;2425;41;MONTHLY;1993-01-23
71;9307;68;MONTHLY;1993-01-24
72;4055;23;MONTHLY;1993-01-24
73;5065;66;MONTHLY;1993-01-24
74;3704;75;MONTHLY;1993-01-24
75;477;1;MONTHLY;1993-01-25
76;5891;54;MONTHLY;1993-01-25
77;1000;77;MONTHLY;1993-01-25
78;1750;1;MONTHLY;1993-01-26
79;2023;68;MONTHLY;1993-01-26
80;6473;12;MONTHLY;1993-01-26
81;1649;46;MONTHLY;1993-01-26
82;2670;13;MONTHLY;1993-01-27
83;1127;27;MONTHLY;1993-01-27
84;163;30;MONTHLY;1993-01-27
85;2566;48;MONTHLY;1993-01-27
86;9;70;MONTHLY;1993-01-27
87;1144;59;MONTHLY;1993-01-28
88;2902;32;MONTHLY;1993-01-28
89;4296;63;MONTHLY;1993-01-28
90;443;64;MONTHLY;1993-01-28
91;3693;61;MONTHLY;1993-01-29
92;2070;72;MONTHLY;1993-01-29
93;1843;12;MONTHLY;1993-01-30
94;2714;1;MONTHLY;1993-01-30
95;4078;40;MONTHLY;1993-01-30
96;1675;36;MONTHLY;1993-02-01
97;5868;44;MONTHLY;1993-02-02
98;1805;1;MONTHLY;1993-02-02
99;2434;17;MONTHLY;1993-02-02
100;3007;16;MONTHLY;1993-02-02
101;2574;68;MONTHLY;1993-02-02
102;862;64;WEEKLY;1993-02-02
103;1132;1;WEEKLY;1993-02-03
104;4484;54;MONTHLY;1993-02-03
105;943;1;MONTHLY;1993-02-03
106;3514;7;MONTHLY;1993-02-03
107;3983;67;MONTHLY;1993-02-04
108;9265;1;MONTHLY;1993-02-04
109;465;32;MONTHLY;1993-02-04
110;982;54;MONTHLY;1993-02-05
111;411;70;MONTHLY;1993-02-05
112;890;14;MONTHLY;1993-02-05
113;627;63;MONTHLY;1993-02-05
114;2429;61;MONTHLY;1993-02-06
115;3960;64;MONTHLY;1993-02-06
116;2256;48;MONTHLY;1993-02-06
117;8051;1;WEEKLY;1993-02-07
118;2647;73;MONTHLY;1993-02-08
119;2241;6;MONTHLY;1993-02-08
120;5622;70;MONTHLY;1993-02-08
121;2884;1;MONTHLY;1993-02-08
122;1830;10;MONTHLY;1993-02-08
123;7753;74;MONTHLY;1993-02-08
124;244;24;MONTHLY;1993-02-08
125;1477;1;MONTHLY;1993-02-08
126;4240;50;MONTHLY;1993-02-08
127;1006;6;MONTHLY;1993-02-08
128;830;74;MONTHLY;1993-02-08
129;9188;45;MONTHLY;1993-02-08
130;1965;57;TRANSACTION;1993-02-08
131;1134;6;MONTHLY;1993-02-09
132;1601;10;MONTHLY;1993-02-09
133;2861;38;MONTHLY;1993-02-10
134;813;16;MONTHLY;1993-02-10
135;2585;75;MONTHLY;1993-02-10
136;2220;16;MONTHLY;1993-02-10
137;2763;64;MONTHLY;1993-02-11
138;2342;51;MONTHLY;1993-02-11
139;1944;72;MONTHLY;1993-02-12
140;1966;27;MONTHLY;1993-02-12
141;1801;46;MONTHLY;1993-02-13
142;2543;68;MONTHLY;1993-02-13
143;2293;31;MONTHLY;1993-02-13
144;11013;1;WEEKLY;1993-02-14
145;2423;30;MONTHLY;1993-02-14
146;142;51;MONTHLY;1993-02-15
147;3424;74;MONTHLY;1993-02-16
148;539;13;TRANSACTION;1993-02-16
149;979;21;MONTHLY;1993-02-16
150;3554;66;MONTHLY;1993-02-16
151;3545;51;MONTHLY;1993-02-17
152;3047;16;MONTHLY;1993-02-17
153;3374;21;MONTHLY;1993-02-17
154;96;68;MONTHLY;1993-02-18
155;461;30;MONTHLY;1993-02-18
156;3593;1;MONTHLY;1993-02-18
157;3026;24;MONTHLY;1993-02-18
158;1054;10;MONTHLY;1993-02-19
159;2433;71;MONTHLY;1993-02-19
160;3691;50;MONTHLY;1993-02-19
161;3787;70;MONTHLY;1993-02-19
162;128;2;MONTHLY;1993-02-19
163;3168;39;MONTHLY;1993-02-20
164;4937;12;MONTHLY;1993-02-20
165;2124;69;MONTHLY;1993-02-20
166;322;1;MONTHLY;1993-02-20
167;4355;31;MONTHLY;1993-02-21
168;1678;1;MONTHLY;1993-02-22
169;2396;2;MONTHLY;1993-02-22
170;1005;54;WEEKLY;1993-02-23
171;697;28;MONTHLY;1993-02-23
172;925;59;MONTHLY;1993-02-23
173;2110;64;MONTHLY;1993-02-23
174;1366;60;MONTHLY;1993-02-24
175;1050;57;TRANSACTION;1993-02-24
176;3117;33;MONTHLY;1993-02-24
177;562;50;MONTHLY;1993-02-25
178;5369;54;MONTHLY;1993-02-25
179;2242;7;WEEKLY;1993-02-25
180;197;1;MONTHLY;1993-02-25
181;496;69;MONTHLY;1993-02-26
182;2;1;MONTHLY;1993-02-26
183;7401;1;MONTHLY;1993-02-26
184;2486;1;MONTHLY;1993-02-27
185;428;1;MONTHLY;1993-02-27
186;3651;23;MONTHLY;1993-02-27
187;1775;17;MONTHLY;1993-02-27
188;1688;70;MONTHLY;1993-02-27
189;361;51;MONTHLY;1993-02-27
190;1829;43;MONTHLY;1993-02-27
191;1575;1;MONTHLY;1993-02-27
192;9203;70;MONTHLY;1993-02-27
193;3008;72;MONTHLY;1993-02-27
194;239;69;WEEKLY;1993-03-01
195;3302;21;MONTHLY;1993-03-02
196;415;25;MONTHLY;1993-03-03
197;3513;20;MONTHLY;1993-03-03
198;4134;7;MONTHLY;1993-03-03
199;1077;14;MONTHLY;1993-03-03
200;1713;43;MONTHLY;1993-03-03
201;1378;59;MONTHLY;1993-03-04
202;2503;1;MONTHLY;1993-03-05
203;559;46;MONTHLY;1993-03-05
204;6555;38;WEEKLY;1993-03-05
205;744;42;MONTHLY;1993-03-06
206;882;9;MONTHLY;1993-03-06
207;86;54;MONTHLY;1993-03-07
208;1126;56;MONTHLY;1993-03-08
209;2666;49;MONTHLY;1993-03-08
210;944;70;MONTHLY;1993-03-08
211;1545;1;MONTHLY;1993-03-08
212;2453;1;MONTHLY;1993-03-08
213;3734;43;MONTHLY;1993-03-08
214;3935;23;MONTHLY;1993-03-08
215;396;21;MONTHLY;1993-03-08
216;2694;7;MONTHLY;1993-03-08
217;4596;74;MONTHLY;1993-03-09
218;2489;72;MONTHLY;1993-03-09
219;2895;19;MONTHLY;1993-03-09
220;317;76;MONTHLY;1993-03-10
221;2555;53;MONTHLY;1993-03-10
222;494;60;MONTHLY;1993-03-11
223;2219;60;MONTHLY;1993-03-11
224;2581;72;MONTHLY;1993-03-11
225;112;6;MONTHLY;1993-03-12
226;3674;38;MONTHLY;1993-03-12
227;2039;44;MONTHLY;1993-03-12
228;2712;9;MONTHLY;1993-03-12
229;395;1;MONTHLY;1993-03-12
230;2974;9;MONTHLY;1993-03-13
231;123;21;MONTHLY;1993-03-13
232;9640;1;MONTHLY;1993-03-13
233;3108;53;MONTHLY;1993-03-14
234;2508;34;MONTHLY;1993-03-14
235;2458;40;WEEKLY;1993-03-14
236;588;66;MONTHLY;1993-03-14
237;7231;10;MONTHLY;1993-03-14
238;6701;49;WEEKLY;1993-03-15
239;3883;72;MONTHLY;1993-03-15
240;222;37;MONTHLY;1993-03-15
241;2497;65;MONTHLY;1993-03-16
242;1372;1;MONTHLY;1993-03-16
243;3835;50;MONTHLY;1993-03-16
244;7445;64;MONTHLY;1993-03-18
245;2527;38;MONTHLY;1993-03-19
246;425;9;MONTHLY;1993-03-19
247;860;1;MONTHLY;1993-03-19
248;6034;6;WEEKLY;1993-03-19
249;11065;11;MONTHLY;1993-03-19
250;9883;1;MONTHLY;1993-03-19
251;115;68;MONTHLY;1993-03-19
252;1189;59;MONTHLY;1993-03-19
253;3675;64;MONTHLY;1993-03-20
254;3069;66;MONTHLY;1993-03-20
255;2762;19;MONTHLY;1993-03-20
256;892;70;MONTHLY;1993-03-20
257;1535;46;MONTHLY;1993-03-20
258;2618;60;MONTHLY;1993-03-21
259;2651;2;MONTHLY;1993-03-21
260;5442;34;MONTHLY;1993-03-22
261;1787;30;WEEKLY;1993-03-22
262;1397;17;MONTHLY;1993-03-22
263;3785;10;MONTHLY;1993-03-24
264;623;1;MONTHLY;1993-03-24
265;8260;31;MONTHLY;1993-03-24
266;3678;1;MONTHLY;1993-03-24
267;3001;1;MONTHLY;1993-03-24
268;655;53;MONTHLY;1993-03-24
269;4093;1;MONTHLY;1993-03-25
270;3260;68;MONTHLY;1993-03-25
271;2528;65;MONTHLY;1993-03-25
272;2011;75;MONTHLY;1993-03-25
273;1721;68;MONTHLY;1993-03-25
274;1332;59;MONTHLY;1993-03-25
275;1402;74;MONTHLY;1993-03-26
276;3283;68;MONTHLY;1993-03-26
277;3781;31;MONTHLY;1993-03-26
278;7203;71;MONTHLY;1993-03-26
279;1065;72;MONTHLY;1993-03-27
280;3076;54;MONTHLY;1993-03-27
281;4347;1;MONTHLY;1993-03-27
282;1157;7;MONTHLY;1993-03-27
283;9403;1;WEEKLY;1993-03-27
284;1874;9;MONTHLY;1993-03-27
285;1115;34;MONTHLY;1993-03-27
286;3586;59;MONTHLY;1993-03-27
287;62;47;MONTHLY;1993-03-28
288;1771;69;MONTHLY;1993-03-28
289;5483;13;MONTHLY;1993-03-28
290;8330;48;MONTHLY;1993-03-28
291;187;5;MONTHLY;1993-03-28
292;423;12;MONTHLY;1993-03-28
293;6425;31;MONTHLY;1993-03-29
294;2493;62;MONTHLY;1993-03-29
295;2896;29;MONTHLY;1993-03-30
296;2245;29;MONTHLY;1993-03-30
297;3923;52;MONTHLY;1993-03-30
298;1898;70;MONTHLY;1993-04-01
299;3367;1;MONTHLY;1993-04-01
300;3391;74;MONTHLY;1993-04-01
301;8519;23;MONTHLY;1993-04-02
302;1780;1;MONTHLY;1993-04-02
303;3915;65;MONTHLY;1993-04-02
304;3980;75;MONTHLY;1993-04-03
305;4350;63;MONTHLY;1993-04-04
306;686;41;MONTHLY;1993-04-04
307;362;15;MONTHLY;1993-04-04
308;299;77;MONTHLY;1993-04-05
309;2488;5;MONTHLY;1993-04-06
310;2985;71;MONTHLY;1993-04-06
311;385;5;MONTHLY;1993-04-07
312;2817;56;MONTHLY;1993-04-07
313;2056;58;MONTHLY;1993-04-07
314;2002;1;MONTHLY;1993-04-08
315;748;10;MONTHLY;1993-04-08
316;220;72;MONTHLY;1993-04-09
317;1422;68;MONTHLY;1993-04-09
318;1147;44;MONTHLY;1993-04-10
319;3788;70;MONTHLY;1993-04-10
320;1891;32;MONTHLY;1993-04-10
321;1239;1;MONTHLY;1993-04-10
322;8321;77;MONTHLY;1993-04-12
323;3213;51;MONTHLY;1993-04-12
324;2838;3;WEEKLY;1993-04-13
325;3644;38;MONTHLY;1993-04-13
326;4318;33;WEEKLY;1993-04-13
327;2648;51;MONTHLY;1993-04-13
328;2313;26;WEEKLY;1993-04-13
329;5428;24;MONTHLY;1993-04-14
330;7123;64;TRANSACTION;1993-04-14
331;279;39;MONTHLY;1993-04-14
332;104;37;MONTHLY;1993-04-15
333;497;55;MONTHLY;1993-04-15
334;1152;45;MONTHLY;1993-04-15
335;83;26;MONTHLY;1993-04-16
336;2008;52;MONTHLY;1993-04-16
337;3327;45;MONTHLY;1993-04-16
338;5740;43;MONTHLY;1993-04-16
339;8132;5;WEEKLY;1993-04-17
340;10738;45;WEEKLY;1993-04-17
341;2216;74;MONTHLY;1993-04-17
342;1815;66;MONTHLY;1993-04-17
343;2823;57;MONTHLY;1993-04-18
344;4321;47;MONTHLY;1993-04-18
345;1773;33;MONTHLY;1993-04-19
346;7454;4;MONTHLY;1993-04-19
347;188;54;MONTHLY;1993-04-20
348;10973;18;WEEKLY;1993-04-20
349;2599;48;MONTHLY;1993-04-20
350;1166;11;MONTHLY;1993-04-21
351;504;73;MONTHLY;1993-04-21
352;1518;67;MONTHLY;1993-04-21
353;2189;75;MONTHLY;1993-04-22
354;6040;1;MONTHLY;1993-04-22
355;2876;52;MONTHLY;1993-04-22
356;1505;69;MONTHLY;1993-04-23
357;6897;48;MONTHLY;1993-04-23
358;4377;28;MONTHLY;1993-04-24
359;717;75;MONTHLY;1993-04-24
360;9707;70;MONTHLY;1993-04-24
361;2814;72;MONTHLY;1993-04-25
362;3068;59;MONTHLY;1993-04-25
363;1476;61;MONTHLY;1993-04-26
364;897;38;MONTHLY;1993-04-26
365;977;1;MONTHLY;1993-04-26
366;2639;17;MONTHLY;1993-04-26
367;1032;11;MONTHLY;1993-04-26
368;928;20;MONTHLY;1993-04-26
369;168;31;MONTHLY;1993-04-27
370;2175;1;MONTHLY;1993-04-27
371;10105;55;MONTHLY;1993-04-28
372;1392;60;MONTHLY;1993-04-28
373;3697;45;MONTHLY;1993-04-29
374;5313;40;MONTHLY;1993-04-29
375;2222;47;MONTHLY;1993-05-01
376;2641;7;MONTHLY;1993-05-02
377;5423;15;MONTHLY;1993-05-02
378;2609;73;MONTHLY;1993-05-03
379;5472;1;MONTHLY;1993-05-04
380;2932;72;MONTHLY;1993-05-04
381;4254;70;MONTHLY;1993-05-04
382;3965;31;MONTHLY;1993-05-04
383;10656;8;MONTHLY;1993-05-05
384;887;1;MONTHLY;1993-05-05
385;4743;64;MONTHLY;1993-05-05
386;1048;35;MONTHLY;1993-05-05
387;1671;6;MONTHLY;1993-05-05
388;1236;19;MONTHLY;1993-05-05
389;1822;30;MONTHLY;1993-05-05
390;3316;28;MONTHLY;1993-05-06
391;2037;20;MONTHLY;1993-05-06
392;10079;62;MONTHLY;1993-05-06
393;3999;35;MONTHLY;1993-05-06
394;551;77;MONTHLY;1993-05-07
395;1200;33;MONTHLY;1993-05-07
396;1161;66;MONTHLY;1993-05-08
397;5372;48;MONTHLY;1993-05-08
398;3050;60;MONTHLY;1993-05-08
399;1784;59;MONTHLY;1993-05-08
400;1603;1;MONTHLY;1993-05-09
401;1887;68;MONTHLY;1993-05-09
402;1644;1;MONTHLY;1993-05-09
403;1658;73;MONTHLY;1993-05-10
404;44;32;MONTHLY;1993-05-10
405;1039;70;WEEKLY;1993-05-10
406;1071;68;WEEKLY;1993-05-10
407;2410;54;MONTHLY;1993-05-11
408;2523;10;MONTHLY;1993-05-11
409;790;54;MONTHLY;1993-05-11
410;2583;62;MONTHLY;1993-05-11
411;1782;8;MONTHLY;1993-05-12
412;751;3;MONTHLY;1993-05-12
413;2061;24;MONTHLY;1993-05-12
414;8261;13;MONTHLY;1993-05-12
415;2321;35;MONTHLY;1993-05-13
416;1334;74;MONTHLY;1993-05-14
417;3649;54;MONTHLY;1993-05-14
418;555;24;MONTHLY;1993-05-15
419;3173;39;MONTHLY;1993-05-15
420;863;71;MONTHLY;1993-05-16
421;3181;42;MONTHLY;1993-05-16
422;3210;1;MONTHLY;1993-05-17
423;489;16;MONTHLY;1993-05-17
424;947;59;MONTHLY;1993-05-17
425;3284;64;MONTHLY;1993-05-17
426;1610;52;MONTHLY;1993-05-17
427;4225;55;MONTHLY;1993-05-18
428;1412;64;MONTHLY;1993-05-18
429;1937;36;MONTHLY;1993-05-18
430;991;39;MONTHLY;1993-05-18
431;1180;20;MONTHLY;1993-05-19
432;2758;70;MONTHLY;1993-05-19
433;2711;58;MONTHLY;1993-05-19
434;1652;74;MONTHLY;1993-05-20
435;3099;70;MONTHLY;1993-05-20
436;11111;1;MONTHLY;1993-05-20
437;9591;74;MONTHLY;1993-05-20
438;9828;11;MONTHLY;1993-05-20
439;5385;44;WEEKLY;1993-05-21
440;23;30;MONTHLY;1993-05-22
441;2645;54;MONTHLY;1993-05-22
442;2991;19;MONTHLY;1993-05-22
443;3469;76;MONTHLY;1993-05-22
444;1851;55;MONTHLY;1993-05-23
445;3844;67;MONTHLY;1993-05-23
446;1442;23;MONTHLY;1993-05-23
447;3064;40;MONTHLY;1993-05-23
448;3558;4;MONTHLY;1993-05-23
449;1534;1;MONTHLY;1993-05-24
450;334;1;MONTHLY;1993-05-24
451;1786;1;MONTHLY;1993-05-25
452;1272;40;WEEKLY;1993-05-25
453;2436;67;MONTHLY;1993-05-25
454;3796;53;MONTHLY;1993-05-25
455;119;27;MONTHLY;1993-05-25
456;3063;72;MONTHLY;1993-05-26
457;18;43;WEEKLY;1993-05-26
458;11320;44;MONTHLY;1993-05-26
459;3888;39;MONTHLY;1993-05-27
460;1584;30;MONTHLY;1993-05-27
461;5546;43;MONTHLY;1993-05-28
462;2029;55;MONTHLY;1993-05-29
463;10911;1;WEEKLY;1993-05-29
464;2467;33;MONTHLY;1993-05-29
465;2962;1;MONTHLY;1993-05-30
466;165;25;MONTHLY;1993-06-01
467;1617;45;MONTHLY;1993-06-01
468;327;54;MONTHLY;1993-06-02
469;2068;21;MONTHLY;1993-06-02
470;4448;60;MONTHLY;1993-06-02
471;640;32;MONTHLY;1993-06-02
472;510;1;WEEKLY;1993-06-02
473;2534;61;MONTHLY;1993-06-03
474;1018;7;MONTHLY;1993-06-03
475;1285;65;MONTHLY;1993-06-04
476;3670;27;MONTHLY;1993-06-04
477;1743;51;MONTHLY;1993-06-04
478;3072;8;MONTHLY;1993-06-05
479;2146;31;MONTHLY;1993-06-05
480;4576;27;MONTHLY;1993-06-05
481;3258;53;MONTHLY;1993-06-05
482;2176;67;MONTHLY;1993-06-06
483;8934;51;MONTHLY;1993-06-06
484;1999;70;MONTHLY;1993-06-06
485;2741;15;MONTHLY;1993-06-07
486;4427;32;MONTHLY;1993-06-07
487;3682;70;MONTHLY;1993-06-07
488;2862;33;MONTHLY;1993-06-07
489;3032;5;MONTHLY;1993-06-07
490;701;69;MONTHLY;1993-06-08
491;6281;56;MONTHLY;1993-06-08
492;306;16;MONTHLY;1993-06-08
493;1207;67;MONTHLY;1993-06-08
494;1247;25;MONTHLY;1993-06-08
495;5343;64;MONTHLY;1993-06-08
496;5129;68;MONTHLY;1993-06-08
497;3713;14;WEEKLY;1993-06-08
498;2327;19;MONTHLY;1993-06-08
499;774;1;MONTHLY;1993-06-08
500;1990;1;MONTHLY;1993-06-09
501;2388;30;MONTHLY;1993-06-09
502;3566;21;MONTHLY;1993-06-09
503;10266;54;MONTHLY;1993-06-10
504;3771;22;MONTHLY;1993-06-11
505;1978;57;WEEKLY;1993-06-11
506;2022;72;MONTHLY;1993-06-11
507;3542;49;MONTHLY;1993-06-11
508;1515;11;MONTHLY;1993-06-11
509;4171;28;MONTHLY;1993-06-12
510;433;20;MONTHLY;1993-06-12
511;1373;47;MONTHLY;1993-06-12
512;3246;54;MONTHLY;1993-06-14
513;1475;1;WEEKLY;1993-06-14
514;3133;66;MONTHLY;1993-06-14
515;2779;73;MONTHLY;1993-06-15
516;135;75;MONTHLY;1993-06-15
517;446;50;MONTHLY;1993-06-15
518;9093;47;MONTHLY;1993-06-16
519;432;46;MONTHLY;1993-06-16
520;2880;71;MONTHLY;1993-06-16
521;5767;72;MONTHLY;1993-06-16
522;1998;1;MONTHLY;1993-06-17
523;2554;36;MONTHLY;1993-06-18
524;2933;10;MONTHLY;1993-06-18
525;773;15;MONTHLY;1993-06-19
526;4894;14;MONTHLY;1993-06-20
527;3969;39;MONTHLY;1993-06-20
528;1277;31;MONTHLY;1993-06-20
529;5120;1;MONTHLY;1993-06-21
530;738;34;MONTHLY;1993-06-21
531;1299;1;MONTHLY;1993-06-21
532;148;8;MONTHLY;1993-06-21
533;899;72;MONTHLY;1993-06-21
534;3521;75;MONTHLY;1993-06-22
535;3786;21;MONTHLY;1993-06-22
536;886;1;MONTHLY;1993-06-23
537;5228;77;TRANSACTION;1993-06-23
538;702;12;MONTHLY;1993-06-23
539;300;1;MONTHLY;1993-06-23
540;1451;64;MONTHLY;1993-06-24
541;2940;54;MONTHLY;1993-06-24
542;1837;23;MONTHLY;1993-06-24
543;3954;22;MONTHLY;1993-06-25
544;885;1;MONTHLY;1993-06-25
545;2697;8;MONTHLY;1993-06-26
546;8129;45;MONTHLY;1993-06-26
547;1930;3;MONTHLY;1993-06-27
548;2411;69;MONTHLY;1993-06-27
549;3775;19;MONTHLY;1993-06-27
550;9034;1;MONTHLY;1993-06-28
551;902;74;MONTHLY;1993-06-29
552;630;71;MONTHLY;1993-06-29
553;3096;68;MONTHLY;1993-06-29
554;2552;52;MONTHLY;1993-07-01
555;3435;59;MONTHLY;1993-07-01
556;5215;55;MONTHLY;1993-07-01
557;36;1;MONTHLY;1993-07-01
558;2687;76;MONTHLY;1993-07-01
559;1861;54;MONTHLY;1993-07-02
560;2464;33;TRANSACTION;1993-07-02
561;2736;72;MONTHLY;1993-07-02
562;1145;31;MONTHLY;1993-07-03
563;2298;31;MONTHLY;1993-07-03
564;929;54;MONTHLY;1993-07-03
565;381;68;MONTHLY;1993-07-04
566;3778;52;MONTHLY;1993-07-04
567;1118;48;MONTHLY;1993-07-04
568;4352;2;MONTHLY;1993-07-05
569;1322;17;MONTHLY;1993-07-05
570;1852;35;MONTHLY;1993-07-05
571;8173;11;MONTHLY;1993-07-05
572;2705;63;TRANSACTION;1993-07-05
573;9472;1;WEEKLY;1993-07-06
574;368;77;MONTHLY;1993-07-06
575;1425;76;MONTHLY;1993-07-06
576;8027;44;WEEKLY;1993-07-07
577;3261;1;MONTHLY;1993-07-07
578;35;75;MONTHLY;1993-07-07
579;2186;63;MONTHLY;1993-07-07
580;1566;73;MONTHLY;1993-07-07
581;78;74;MONTHLY;1993-07-07
582;3939;70;MONTHLY;1993-07-08
583;2584;50;MONTHLY;1993-07-08
584;2336;39;MONTHLY;1993-07-08
585;2078;62;MONTHLY;1993-07-08
586;3882;10;MONTHLY;1993-07-09
587;4159;74;MONTHLY;1993-07-09
588;907;41;MONTHLY;1993-07-09
589;1411;54;MONTHLY;1993-07-09
590;1684;32;WEEKLY;1993-07-10
591;3748;1;MONTHLY;1993-07-10
592;2213;68;MONTHLY;1993-07-11
593;1062;6;MONTHLY;1993-07-11
594;273;24;TRANSACTION;1993-07-11
595;10320;68;MONTHLY;1993-07-11
596;1416;66;WEEKLY;1993-07-12
597;3277;36;MONTHLY;1993-07-12
598;1892;28;MONTHLY;1993-07-13
599;3413;70;MONTHLY;1993-07-13
600;3654;47;MONTHLY;1993-07-13
601;3000;28;MONTHLY;1993-07-14
602;3955;64;MONTHLY;1993-07-14
603;1544;69;MONTHLY;1993-07-14
604;9703;68;MONTHLY;1993-07-15
605;234;73;MONTHLY;1993-07-15
606;3241;44;MONTHLY;1993-07-16
607;3465;1;MONTHLY;1993-07-16
608;3152;1;MONTHLY;1993-07-16
609;1497;1;MONTHLY;1993-07-16
610;3078;1;MONTHLY;1993-07-16
611;400;28;MONTHLY;1993-07-17
612;1902;50;WEEKLY;1993-07-17
613;757;50;MONTHLY;1993-07-19
614;1116;1;MONTHLY;1993-07-20
615;5700;42;MONTHLY;1993-07-20
616;3267;64;MONTHLY;1993-07-21
617;3222;4;MONTHLY;1993-07-21
618;408;41;MONTHLY;1993-07-21
619;2818;40;MONTHLY;1993-07-21
620;6273;38;MONTHLY;1993-07-21
621;2513;70;MONTHLY;1993-07-22
622;3493;63;MONTHLY;1993-07-22
623;1201;61;MONTHLY;1993-07-23
624;4478;70;MONTHLY;1993-07-23
625;2915;57;MONTHLY;1993-07-23
626;9833;20;MONTHLY;1993-07-24
627;2253;74;MONTHLY;1993-07-24
628;1069;70;MONTHLY;1993-07-24
629;207;2;MONTHLY;1993-07-25
630;3212;70;MONTHLY;1993-07-25
631;4035;1;MONTHLY;1993-07-25
632;1268;74;MONTHLY;1993-07-25
633;3287;18;MONTHLY;1993-07-26
634;6226;74;WEEKLY;1993-07-26
635;2123;64;MONTHLY;1993-07-26
636;3982;26;MONTHLY;1993-07-27
637;2701;71;MONTHLY;1993-07-27
638;3629;48;MONTHLY;1993-07-27
639;2841;71;MONTHLY;1993-07-27
640;563;53;MONTHLY;1993-07-27
641;2732;5;MONTHLY;1993-07-27
642;1297;70;MONTHLY;1993-07-27
643;7485;39;MONTHLY;1993-07-28
644;2088;4;MONTHLY;1993-07-28
645;225;1;MONTHLY;1993-07-28
646;1630;72;MONTHLY;1993-07-28
647;403;1;MONTHLY;1993-07-29
648;445;63;WEEKLY;1993-07-29
649;186;1;WEEKLY;1993-07-29
650;3720;36;MONTHLY;1993-07-30
651;574;70;MONTHLY;1993-07-30
652;1429;57;MONTHLY;1993-07-30
653;3580;43;MONTHLY;1993-08-01
654;7819;38;MONTHLY;1993-08-01
655;759;23;MONTHLY;1993-08-01
656;6363;74;MONTHLY;1993-08-01
657;3738;51;MONTHLY;1993-08-01
658;4000;7;MONTHLY;1993-08-02
659;9041;1;MONTHLY;1993-08-03
660;2620;22;MONTHLY;1993-08-03
661;3609;28;MONTHLY;1993-08-03
662;1382;48;MONTHLY;1993-08-03
663;930;41;MONTHLY;1993-08-03
664;1925;12;MONTHLY;1993-08-03
665;1834;62;MONTHLY;1993-08-03
666;1507;35;MONTHLY;1993-08-03
667;7857;75;MONTHLY;1993-08-04
668;6636;72;WEEKLY;1993-08-04
669;601;29;MONTHLY;1993-08-04
